Date,Symbol,Nominal price,Open,Prev Close,Volume,Market Cap,Day Range,52 Week Range,P/E Ratio,Bloomberg (BEst) P/E Ratio,Bloomberg (BEst) PEG Ratio,Shares Outstanding,Price to Book Ratio,Price to Sales Ratio,1 Year Return,30 Day Avg Volume,EPS,Bloomberg (BEst) EPS Curr Yr,Dividend,Last Dividend Reported
2018-06-08,3,15.48,15.40,15.50,"26,894,103",238.182B,15.26-15.50,13.09-15.80,28.94,29.5985,N/A,15.39B,3.9409,7.3341,15.23%,"17,546,840",0.53,0.5230,2.06%,0.20909091
2018-06-08,5,76.55,77.20,77.25,"11,491,978",1.534T,76.45-77.20,67.55-86.00,19.73,N/A,0.8087,20.04B,0.9987,3.7508,16.70%,"17,043,380",0.49,0.7290,5.21%,0.1
2018-06-08,66,44.50,44.65,44.85,"1,922,955",267.421B,44.35-44.65,40.55-46.80,15.73,24.2904,5.0083,6.01B,1.6076,4.7718,3.30%,"4,606,891",2.83,1.8320,2.52%,0.87
2018-06-08,688,28.80,29.20,29.00,"20,694,360",315.539B,28.50-29.20,22.50-32.20,7.73,7.8474,0.5557,10.96B,1.1876,1.9243,24.05%,"13,191,380",3.72,3.6980,2.78%,0.45
2018-06-08,6,55.45,56.00,55.95,"3,288,261",118.345B,55.45-56.15,54.00-67.61,14.21,15.1008,10.7863,2.13B,1.2382,83.3414,-0.77%,"5,069,331",3.90,3.6720,5.05%,2.03
2018-06-08,700,415.00,426.60,429.20,"28,928,220",3.944T,412.60-426.60,260.40-476.60,39.77,35.8534,1.5365,9.5B,11.6071,12.1990,52.12%,"26,124,760",8.53,8.8730,0.21%,0.88
2018-06-08,762,10.32,10.66,10.86,"56,131,494",315.773B,10.24-10.80,9.20-13.24,109.91,N/A,0.4086,30.6B,0.8482,0.7529,-9.43%,"27,167,250",0.08,0.2910,0.62%,0.052
2018-06-08,823,73.30,73.50,73.65,"4,530,189",157.599B,73.00-74.20,58.00-75.00,3.37,N/A,0.7698,2.15B,0.8824,16.0842,21.46%,"5,108,874",21.78,2.6670,3.41%,1.2828
2018-06-08,836,15.72,15.86,15.84,"4,754,000",75.620B,15.70-15.90,12.82-16.30,16.21,10.8864,0.6743,4.81B,1.0048,1.0244,3.49%,"8,293,664",0.97,1.4440,5.57%,0.75
2018-06-08,83,14.14,14.00,14.14,"7,996,584",93.367B,13.94-14.36,12.06-14.60,6.22,N/A,167.8040,6.6B,0.6477,7.7766,10.20%,"5,092,739",2.27,0.8870,3.75%,0.45
2018-06-08,857,6.55,6.65,6.59,"192,015,535",1.706T,6.53-6.74,4.68-6.74,33.92,16.9850,0.4685,21.1B,0.8155,0.4742,31.72%,"174,430,300",0.16,0.3140,1.04%,0.02489
2018-06-08,883,13.20,13.54,13.46,"81,400,028",589.346B,13.12-13.56,8.45-14.64,19.65,N/A,0.5270,44.65B,1.2668,2.5825,58.64%,"81,748,870",0.55,1.1600,3.79%,0.3
2018-06-08,939,8.08,8.25,8.25,"278,292,795",2.025T,8.05-8.25,5.91-9.39,6.69,5.9722,1.0324,240.42B,0.9386,1.5192,30.77%,"296,451,100",0.99,1.0500,4.41%,0.291
2018-06-08,941,71.50,73.15,73.20,"15,100,652",1.464T,71.15-73.20,69.60-86.29,10.47,N/A,2.9580,20.48B,1.2131,1.6147,-9.16%,"15,754,050",5.58,5.6410,4.48%,1.582
